date,value
2001-02-09,0.376
2001-02-16,0.2896
2001-02-23,0.6578
2001-03-02,0.544
2001-03-09,0.4109
2001-03-16,0.7885
2001-03-23,1.0595
2001-03-30,0.5399
2001-04-06,1.0377
2001-04-13,0.7372
2001-04-20,0.6362
2001-04-27,0.7669
2001-05-04,0.3095
2001-05-11,0.416
2001-05-18,0.4362
2001-05-25,0.3658
2001-06-01,0.4129
2001-06-08,0.3781
2001-06-15,0.4611
2001-06-22,0.5033
2001-06-29,0.3138
2001-07-06,0.2848
2001-07-13,0.555
2001-07-20,0.4439
2001-07-27,0.3252
2001-08-03,0.2515
2001-08-10,0.2648
2001-08-17,0.3756
2001-08-24,0.4764
2001-08-31,0.3972
2001-09-07,0.5107
2001-09-14,1.4779
2001-09-21,2.0085
2001-09-28,0.7452
2001-10-05,1.1301
2001-10-12,0.8714
2001-10-19,0.7687
2001-10-26,0.7477
2001-11-02,1.047
2001-11-09,0.8434
2001-11-16,0.401
2001-11-23,0.5255
2001-11-30,0.6914
2001-12-07,0.7867
2001-12-14,0.7862
2001-12-21,0.7608
2001-12-28,0.598
2002-01-04,0.5551
2002-01-11,0.5369
2002-01-18,0.5926
2002-01-25,0.3661
2002-02-01,0.5122
2002-02-08,0.6703
2002-02-15,0.3741
2002-02-22,0.5509
2002-03-01,0.3884
2002-03-08,0.2028
2002-03-15,0.1717
2002-03-22,0.2907
2002-03-29,0.3459
2002-04-05,0.4414
2002-04-12,0.4027
2002-04-19,0.2975
2002-04-26,0.3797
2002-05-03,0.2669
2002-05-10,0.3611
2002-05-17,0.1648
2002-05-24,0.3652
2002-05-31,0.3446
2002-06-07,0.5281
2002-06-14,0.6244
2002-06-21,0.651
2002-06-28,0.9907
2002-07-05,0.7808
2002-07-12,0.9137
2002-07-19,1.0405
2002-07-26,1.5117
2002-08-02,0.9307
2002-08-09,1.3038
2002-08-16,1.0565
2002-08-23,0.8542
2002-08-30,0.8432
2002-09-06,1.3272
2002-09-13,1.0059
2002-09-20,1.3
2002-09-27,1.4386
2002-10-04,1.2517
2002-10-11,1.5516
2002-10-18,0.7769
2002-10-25,0.9971
2002-11-01,1.2063
2002-11-08,1.0643
2002-11-15,1.0007
2002-11-22,0.5249
2002-11-29,0.6834
2002-12-06,0.8617
2002-12-13,0.8747
2002-12-20,0.6676
2002-12-27,0.9012
2003-01-03,0.9223
2003-01-10,0.4719
2003-01-17,0.6542
2003-01-24,0.9361
2003-01-31,0.92
2003-02-07,0.9465
2003-02-14,0.901
2003-02-21,0.6748
2003-02-28,0.6646
2003-03-07,0.7268
2003-03-14,0.7909
2003-03-21,0.467
2003-03-28,0.6497
2003-04-04,0.5493
2003-04-11,0.4384
2003-04-18,0.2586
2003-04-25,0.2455
2003-05-02,0.2016
2003-05-09,0.2399
2003-05-16,0.3419
2003-05-23,0.5784
2003-05-30,0.4003
2003-06-06,0.3259
2003-06-13,0.373
2003-06-20,0.2311
2003-06-27,0.4443
2003-07-04,0.3728
2003-07-11,0.2468
2003-07-18,0.109
2003-07-25,0.1338
2003-08-01,0.291
2003-08-08,0.5469
2003-08-15,0.1565
2003-08-22,0.1628
2003-08-29,0.0676
2003-09-05,0.1
2003-09-12,0.1896
2003-09-19,-0.0927
2003-09-26,0.0195
2003-10-03,0.1138
2003-10-10,-0.1714
2003-10-17,-0.3463
2003-10-24,-0.1029
2003-10-31,-0.2413
2003-11-07,-0.3076
2003-11-14,-0.2085
2003-11-21,-0.0816
2003-11-28,-0.3579
2003-12-05,-0.2729
2003-12-12,-0.2476
2003-12-19,-0.253
2003-12-26,-0.2357
2004-01-02,-0.2787
2004-01-09,-0.3705
2004-01-16,-0.3599
2004-01-23,-0.4592
2004-01-30,-0.3855
2004-02-06,-0.3746
2004-02-13,-0.453
2004-02-20,-0.4843
2004-02-27,-0.5094
2004-03-05,-0.6662
2004-03-12,-0.3172
2004-03-19,-0.3523
2004-03-26,-0.3115
2004-04-02,-0.6572
2004-04-09,-0.5812
2004-04-16,-0.4665
2004-04-23,-0.4447
2004-04-30,-0.4012
2004-05-07,-0.4017
2004-05-14,-0.3012
2004-05-21,-0.4608
2004-05-28,-0.5865
2004-06-04,-0.5553
2004-06-11,-0.7429
2004-06-18,-0.5192
2004-06-25,-0.544
2004-07-02,-0.512
2004-07-09,-0.4065
2004-07-16,-0.5595
2004-07-23,-0.5476
2004-07-30,-0.534
2004-08-06,-0.3293
2004-08-13,-0.492
2004-08-20,-0.5099
2004-08-27,-0.633
2004-09-03,-0.5534
2004-09-10,-0.6607
2004-09-17,-0.617
2004-09-24,-0.6424
2004-10-01,-0.6188
2004-10-08,-0.6036
2004-10-15,-0.4517
2004-10-22,-0.5
2004-10-29,-0.6708
2004-11-05,-0.8062
2004-11-12,-0.8386
2004-11-19,-0.772
2004-11-26,-0.8336
2004-12-03,-0.7138
2004-12-10,-0.7173
2004-12-17,-0.9084
2004-12-24,-0.841
2004-12-31,-0.8376
2005-01-07,-0.7331
2005-01-14,-0.7067
2005-01-21,-0.7191
2005-01-28,-0.789
2005-02-04,-0.8878
2005-02-11,-0.8527
2005-02-18,-0.9494
2005-02-25,-0.9604
2005-03-04,-0.9343
2005-03-11,-0.951
2005-03-18,-0.7867
2005-03-25,-0.7329
2005-04-01,-0.7125
2005-04-08,-0.7323
2005-04-15,-0.6845
2005-04-22,-0.6146
2005-04-29,-0.7557
2005-05-06,-0.7656
2005-05-13,-0.6082
2005-05-20,-0.5171
2005-05-27,-0.8013
2005-06-03,-0.7079
2005-06-10,-0.6951
2005-06-17,-0.7863
2005-06-24,-0.682
2005-07-01,-0.7948
2005-07-08,-0.7292
2005-07-15,-0.8968
2005-07-22,-0.8437
2005-07-29,-0.9338
2005-08-05,-0.916
2005-08-12,-0.8855
2005-08-19,-0.8153
2005-08-26,-0.8203
2005-09-02,-0.6508
2005-09-09,-0.8347
2005-09-16,-0.8418
2005-09-23,-0.7858
2005-09-30,-0.8453
2005-10-07,-0.7081
2005-10-14,-0.5732
2005-10-21,-0.8334
2005-10-28,-0.868
2005-11-04,-0.9041
2005-11-11,-0.8378
2005-11-18,-0.7308
2005-11-25,-0.7802
2005-12-02,-0.7174
2005-12-09,-0.7101
2005-12-16,-0.7311
2005-12-23,-0.6957
2005-12-30,-0.6558
2006-01-06,-0.8485
2006-01-13,-0.9949
2006-01-20,-0.8321
2006-01-27,-0.9969
2006-02-03,-1.0564
2006-02-10,-0.9323
2006-02-17,-1.0311
2006-02-24,-1.1168
2006-03-03,-1.0765
2006-03-10,-0.9628
2006-03-17,-1.0205
2006-03-24,-1.0574
2006-03-31,-1.0447
2006-04-07,-1.0206
2006-04-14,-0.9515
2006-04-21,-1.0403
2006-04-28,-1.0981
2006-05-05,-1.1049
2006-05-12,-1.1139
2006-05-19,-0.8854
2006-05-26,-0.7923
2006-06-02,-0.9217
2006-06-09,-0.8021
2006-06-16,-0.7307
2006-06-23,-0.8014
2006-06-30,-0.8571
2006-07-07,-0.9881
2006-07-14,-0.7895
2006-07-21,-0.7838
2006-07-28,-0.9354
2006-08-04,-0.8973
2006-08-11,-0.9242
2006-08-18,-1.0289
2006-08-25,-0.984
2006-09-01,-0.9496
2006-09-08,-0.9108
2006-09-15,-0.9431
2006-09-22,-0.8314
2006-09-29,-0.8052
2006-10-06,-0.846
2006-10-13,-1.0208
2006-10-20,-0.9694
2006-10-27,-1.0072
2006-11-03,-0.8946
2006-11-10,-1.0072
2006-11-17,-1.0005
2006-11-24,-0.9287
2006-12-01,-0.802
2006-12-08,-0.9168
2006-12-15,-0.9877
2006-12-22,-0.9323
2006-12-29,-0.9655
2007-01-05,-0.8836
2007-01-12,-0.9897
2007-01-19,-1.0946
2007-01-26,-1.1302
2007-02-02,-1.0908
2007-02-09,-1.0959
2007-02-16,-1.1092
2007-02-23,-1.1336
2007-03-02,-0.6962
2007-03-09,-0.7895
2007-03-16,-0.8465
2007-03-23,-1.0152
2007-03-30,-0.9518
2007-04-06,-0.9533
2007-04-13,-1.0243
2007-04-20,-1.0376
2007-04-27,-1.0106
2007-05-04,-0.9151
2007-05-11,-0.9658
2007-05-18,-0.9296
2007-05-25,-0.9724
2007-06-01,-0.922
2007-06-08,-0.7986
2007-06-15,-0.7186
2007-06-22,-0.6879
2007-06-29,-0.5604
2007-07-06,-0.7785
2007-07-13,-0.6912
2007-07-20,-0.6845
2007-07-27,-0.1472
2007-08-03,-0.0107
2007-08-10,0.1417
2007-08-17,1.2222
2007-08-24,1.2907
2007-08-31,1.0028
2007-09-07,1.4783
2007-09-14,1.5764
2007-09-21,0.7158
2007-09-28,0.7036
2007-10-05,0.6296
2007-10-12,0.3606
2007-10-19,0.7272
2007-10-26,0.792
2007-11-02,0.4725
2007-11-09,1.1464
2007-11-16,1.1682
2007-11-23,1.9215
2007-11-30,2.0741
2007-12-07,1.9583
2007-12-14,1.9311
2007-12-21,1.7835
2007-12-28,1.3258
2008-01-04,1.6117
2008-01-11,1.2954
2008-01-18,0.9717
2008-01-25,1.6245
2008-02-01,0.9747
2008-02-08,1.5088
2008-02-15,1.2978
2008-02-22,1.1515
2008-02-29,1.4344
2008-03-07,2.4569
2008-03-14,2.0375
2008-03-21,2.374
2008-03-28,1.685
